id,home_team_id,away_team_id,home_team_score,away_team_score,date
0021600142,1610612750,1610612747,125,99,20161113
0021600143,1610612744,1610612756,133,120,20161113
0021600144,1610612757,1610612743,112,105,20161113
0021600145,1610612754,1610612753,88,69,20161114
0021600146,1610612752,1610612742,93,77,20161114
0021600147,1610612765,1610612760,104,88,20161114
0021600148,1610612740,1610612738,106,105,20161114
0021600149,1610612745,1610612755,115,88,20161114
0021600150,1610612759,1610612748,94,90,20161114
0021600151,1610612762,1610612763,96,102,20161114
0021600152,1610612746,1610612751,127,95,20161114
0021600153,1610612739,1610612761,121,117,20161115
0021600154,1610612748,1610612737,90,93,20161115
0021600155,1610612750,1610612766,108,115,20161115
0021600156,1610612757,1610612741,88,113,20161115
0021600157,1610612747,1610612751,125,118,20161115
0021600158,1610612755,1610612764,109,102,20161116
0021600159,1610612753,1610612740,89,82,20161116
0021600160,1610612754,1610612739,103,93,20161116
0021600161,1610612738,1610612742,90,83,20161116
0021600162,1610612752,1610612765,105,102,20161116
0021600163,1610612737,1610612749,107,100,20161116
0021600164,1610612760,1610612745,105,103,20161116
0021600165,1610612761,1610612744,121,127,20161116
0021600166,1610612743,1610612756,120,104,20161116
0021600167,1610612746,1610612763,107,111,20161116
0021600168,1610612758,1610612759,105,110,20161116
0021600169,1610612764,1610612752,119,112,20161117
0021600170,1610612748,1610612749,96,73,20161117
0021600171,1610612745,1610612757,126,109,20161117
0021600172,1610612750,1610612755,110,86,20161117
0021600173,1610612762,1610612741,77,85,20161117
0021600174,1610612766,1610612737,100,96,20161118
0021600176,1610612754,1610612756,96,116,20161118
0021600175,1610612739,1610612765,104,81,20161118
0021600177,1610612740,1610612757,113,101,20161118
0021600178,1610612760,1610612751,124,105,20161118
0021600179,1610612738,1610612744,88,104,20161118
0021600180,1610612742,1610612763,64,80,20161118
0021600181,1610612743,1610612761,111,113,20161118
0021600182,1610612747,1610612759,107,116,20161118
0021600183,1610612758,1610612746,115,121,20161118
0021600184,1610612745,1610612762,111,102,20161119
0021600185,1610612740,1610612766,121,116,20161119
0021600186,1610612764,1610612748,111,114,20161119
0021600187,1610612753,1610612742,95,87,20161119
0021600188,1610612765,1610612738,92,94,20161119
0021600189,1610612755,1610612756,120,105,20161119
0021600190,1610612763,1610612750,93,71,20161119
0021600191,1610612749,1610612744,121,124,20161119
0021600192,1610612746,1610612741,102,95,20161119
0021600193,1610612752,1610612737,104,94,20161120
0021600194,1610612751,1610612757,109,129,20161120
0021600195,1610612760,1610612754,111,115,20161120
0021600196,1610612758,1610612761,102,99,20161120
0021600197,1610612743,1610612762,105,91,20161120
0021600198,1610612747,1610612741,110,118,20161120
0021600199,1610612755,1610612748,101,94,20161121
0021600200,1610612764,1610612756,106,101,20161121
0021600201,1610612766,1610612763,90,105,20161121
0021600202,1610612754,1610612744,83,120,20161121
0021600203,1610612765,1610612745,96,99,20161121
0021600204,1610612749,1610612753,93,89,20161121
0021600205,1610612750,1610612738,93,99,20161121
0021600206,1610612759,1610612742,96,91,20161121
0021600207,1610612746,1610612761,123,115,20161121
0021600208,1610612752,1610612757,107,103,20161122
0021600209,1610612737,1610612740,94,112,20161122
0021600210,1610612743,1610612741,110,107,20161122
0021600211,1610612747,1610612760,111,109,20161122
0021600212,1610612755,1610612763,99,104,20161123
0021600213,1610612766,1610612759,114,119,20161123
0021600214,1610612753,1610612756,87,92,20161123
0021600215,1610612739,1610612757,137,125,20161123
0021600216,1610612754,1610612737,85,96,20161123
0021600217,1610612751,1610612738,92,111,20161123
0021600218,1610612765,1610612748,107,84,20161123
0021600219,1610612745,1610612761,102,115,20161123
0021600220,1610612742,1610612746,104,124,20161123
