Draft,Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
janreg,1970,3,1rg,57,9,Angels,N,,Jim Chapman,SS,,,,,,,,,,,,,JC,Columbia Basin College (Pasco, WA)
janreg,1970,4,1rg,82,10,Angels,N,,Thomas Williams,OF,,,,,,,,,,,,,JC,Solano Community College (Fairfield, CA)
janreg,1970,5,1rg,105,8,Angels,Y,,Albert Borchetta,LHP,,,,,,,,,,,,,,
janreg,1970,6,1rg,126,6,Angels,N,,Alan Gomez,SS,,,,,,,,,,,,,JC,Foothill College (Los Altos Hills, CA)
janreg,1970,7,1rg,142,4,Angels,N,,Jerry Reasonover,2B,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
janreg,1970,8,1rg,154,3,Angels,Y,,Johnny Clear,1B,,,,,,,,,,,,,JC,Los Angeles Harbor College (Wilmington, CA)
junsec,1970,1,6sc,22,22,Angels,N,,Richard Soriano,OF,,,,,,,,,,,,,JC,Miami Dade College (Miami, FL)
junsec,1970,2,6sc,46,22,Angels,N,,Pat Cech,RHP,,,,,,,,,,,,,JC,Glendale Community College (Glendale, CA)
junsec,1970,3,6sc,69,21,Angels,N,,Ken Harris,OF,,,,,,,,,,,,,JC,Pasadena City College (Pasadena, CA)
junsec,1970,4,6sc,87,16,Angels,N,,Mike Potter,OF,-0.4,14,23,0,.000,.042,,,,,,,JC,Mount San Antonio College (Walnut, CA)
junsec,1970,5,6sc,96,7,Angels,N,,Todd Sprecher,C,,,,,,,,,,,,,JC,Yakima Valley Community College (Yakima, WA)
junsec,1970,6,6sc,101,3,Angels,N,,Richard Dierker,RHP,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
jansec,1971,1,1sc,7,7,Angels,Y,,Bob Allietta,C,-0.2,21,45,1,.178,.462,,,,,,,,
jansec,1971,2,1sc,31,6,Angels,N,,Michael McManus,1B,,,,,,,,,,,,,JC,Mount San Antonio College (Walnut, CA)
jansec,1971,3,1sc,55,6,Angels,N,,Robert Loughery,RHP,,,,,,,,,,,,,,
jansec,1971,4,1sc,79,6,Angels,N,,Mike Edwards,SS,-1.7,317,879,2,.250,.578,,,,,,,,
jansec,1971,5,1sc,98,4,Angels,N,,Craig Barnes,1B,,,,,,,,,,,,,JC,Mount San Antonio College (Walnut, CA)
jansec,1971,6,1sc,114,4,Angels,N,,John Wade,C,,,,,,,,,,,,,,
jansec,1971,7,1sc,122,4,Angels,N,,Mitch Fahland,C,,,,,,,,,,,,,,
jansec,1971,8,1sc,130,4,Angels,Y,,Jerry Remy,2B,14.6,1154,4455,7,.275,.656,,,,,,,4Yr,Roger Williams University (Bristol, RI)
janreg,1971,1,1rg,13,13,Angels,Y,,Earl Austin,3B,,,,,,,,,,,,,JC,West Hills College (Coalinga, CA)
janreg,1971,2,1rg,35,12,Angels,Y,,Larry Dierks,LHP,,,,,,,,,,,,,4Yr,University of Arizona (Tucson, AZ)
janreg,1971,3,1rg,55,10,Angels,N,,Darold Nogle,OF,,,,,,,,,,,,,JC,Rio Hondo College (Whittier, CA)
janreg,1971,4,1rg,74,9,Angels,N,,Alan Cox,RHP,,,,,,,,,,,,,JC,Fullerton College (Fullerton, CA)
janreg,1971,5,1rg,88,7,Angels,N,,Dan Everts,RHP,,,,,,,,,,,,,JC,Rio Hondo College (Whittier, CA)
janreg,1971,6,1rg,100,5,Angels,N,,William Weyl,LHP,,,,,,,,,,,,,JC,Santa Rosa Junior College (Santa Rosa, CA)
junsec,1971,1,6sc,3,3,Angels,Y,,Jim Officer,LHP,,,,,,,,,,,,,4Yr,University of Oregon (Eugene, OR)
junsec,1971,1,6sc,11,11,Angels,Y,,Jack Donovan,RHP,,,,,,,,,,,,,4Yr,Seton Hall University (South Orange, NJ)
junsec,1971,2,6sc,26,3,Angels,Y,,Darroll Phillips,RHP,,,,,,,,,,,,,JC,Laney College (Oakland, CA)
junsec,1971,2,6sc,35,11,Angels,Y,,Ronald Botica,RHP,,,,,,,,,,,,,4Yr,Louisiana Tech University (Ruston, LA)
junsec,1971,3,6sc,42,3,Angels,N,,Gary Hampton,2B,,,,,,,,,,,,,JC,Fresno City College (Fresno, CA)
junsec,1971,4,6sc,51,2,Angels,N,,Thomas Martell,LHP,,,,,,,,,,,,,JC,Linn-Benton Community College (Albany, OR)
junsec,1971,3,6sc,57,10,Angels,N,,Steve Fahsbender,LHP,,,,,,,,,,,,,4Yr,Claremont-Mudd College (Claremont, CA)
jansec,1972,1,1sc,23,23,Angels,N,,Craig Caskey,LHP,-0.3,9,1,0,.000,.000,9,0,0,5.65,1.33,0,4Yr,University of Puget Sound (Tacoma, WA)
jansec,1972,2,1sc,46,22,Angels,N,,Jeff Spagnola,OF,,,,,,,,,,,,,JC,Santa Ana College (Santa Ana, CA)
jansec,1972,3,1sc,68,21,Angels,N,,Mike Bahnick,RHP,,,,,,,,,,,,,4Yr,Rider University (Lawrenceville, NJ)
jansec,1972,4,1sc,86,17,Angels,N,,Jerry Stamps,C,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
jansec,1972,5,1sc,99,12,Angels,N,,Jim Jachym,LHP,,,,,,,,,,,,,4Yr,University of Connecticut (Storrs, CT)
jansec,1972,6,1sc,106,6,Angels,N,,Larry Liedy,SS,,,,,,,,,,,,,JC,College of Staten Island (Staten Island, NY)
jansec,1972,7,1sc,112,6,Angels,N,,Michael Roche,RHP,,,,,,,,,,,,,JC,Seminole State College of Florida (Sanford, FL)
janreg,1972,1,1rg,9,9,Angels,Y,,Tom Donohue,OF,-1.0,122,325,5,.200,.510,,,,,,,JC,Nassau Community College (Garden City, NY)
janreg,1972,2,1rg,33,9,Angels,Y,,Tim Burns,RHP,,,,,,,,,,,,,4Yr,Austin Peay State University (Clarksville, TN)
janreg,1972,3,1rg,56,8,Angels,N,,Paul Levar,RHP,,,,,,,,,,,,,JC,Spokane Falls Community College (Spokane, WA)
janreg,1972,4,1rg,78,7,Angels,N,,Robert Perkins,RHP,,,,,,,,,,,,,JC,St. Clair County Community College (Port Huron, MI)
janreg,1972,5,1rg,95,5,Angels,N,,Michael Lee,RHP,,,,,,,,,,,,,JC,Miami Dade College (Miami, FL)
janreg,1972,6,1rg,110,5,Angels,N,,Craig White,OF,,,,,,,,,,,,,4Yr,Clemson University (Clemson, SC)
janreg,1972,7,1rg,120,3,Angels,N,,Darrell Dickens,RHP,,,,,,,,,,,,,JC,Contra Costa College (San Pablo, CA)
junsec,1972,1,6sc,6,6,Angels,Y,,Dave Collins,1B,15.8,1701,4907,32,.272,.689,,,,,,,JC,Mesa Community College (Mesa, AZ)
