player_id,game_id,team_id,fga,fgm,3pa,3pm,fta,ftm,points,off_rebounds,def_rebounds,assists,turnovers,blocks,steals,fouls
203087,0011600009,1610612766,7,3,0,3,1,2,7,0,3,0,0,0,0,2
1626151,0011600009,1610612766,1,1,0,0,0,1,2,0,1,0,1,0,1,0
1626174,0011600009,1610612766,2,2,0,0,0,0,4,1,3,0,1,0,0,0
1627881,0011600009,1610612766,1,0,0,1,2,2,2,0,1,2,1,0,0,1
1627768,0011600009,1610612766,,,,,,,,,,,,,,
1626203,0011600009,1610612766,,,,,,,,,,,,,,
203148,0011600009,1610612766,,,,,,,,,,,,,,
1627861,0011600009,1610612766,,,,,,,,,,,,,,
202689,0011600009,1610612766,,,,,,,,,,,,,,
203469,0011600009,1610612766,,,,,,,,,,,,,,
203084,0011600009,1610612742,10,1,1,4,0,0,3,1,1,2,0,0,1,4
203112,0011600009,1610612742,4,2,1,3,1,1,6,0,4,1,0,0,2,3
203939,0011600009,1610612742,5,3,0,0,2,2,8,1,2,2,0,1,0,2
202083,0011600009,1610612742,6,4,1,3,0,0,9,0,3,2,1,0,0,2
200826,0011600009,1610612742,9,5,1,3,0,0,11,0,4,2,1,0,1,0
203552,0011600009,1610612742,13,7,5,6,1,1,20,0,4,0,0,0,0,1
1626147,0011600009,1610612742,11,4,0,4,1,2,9,1,2,1,2,0,0,0
1627773,0011600009,1610612742,6,3,0,0,0,0,6,1,8,0,2,0,0,4
1627827,0011600009,1610612742,3,0,0,1,0,0,0,2,1,0,0,1,0,1
1627852,0011600009,1610612742,4,2,1,1,0,0,5,1,4,3,2,1,0,2
203710,0011600009,1610612742,7,3,2,4,0,0,8,0,2,2,0,0,0,2
1626780,0011600009,1610612742,7,2,1,4,0,2,5,0,1,3,2,0,2,1
1627867,0011600009,1610612742,2,0,0,0,0,0,0,0,0,1,1,0,0,2
1627858,0011600009,1610612742,1,0,0,0,1,2,1,1,2,2,1,0,1,2
1627866,0011600009,1610612742,2,2,0,0,0,0,4,1,2,0,0,0,0,1
101106,0011600009,1610612742,,,,,,,,,,,,,,
2734,0011600009,1610612742,,,,,,,,,,,,,,
1626257,0011600009,1610612742,,,,,,,,,,,,,,
1717,0011600009,1610612742,,,,,,,,,,,,,,
101114,0011600009,1610612742,,,,,,,,,,,,,,
201568,0011600004,1610612743,4,2,1,2,9,10,14,1,1,2,3,0,0,3
203999,0011600004,1610612743,7,4,1,1,3,5,12,1,5,3,0,1,0,3
203994,0011600004,1610612743,9,4,0,0,7,7,15,4,6,3,3,2,2,4
203914,0011600004,1610612743,3,2,0,0,2,2,6,0,0,0,1,0,0,2
1626144,0011600004,1610612743,11,3,1,5,0,0,7,2,5,2,3,0,0,0
202702,0011600004,1610612743,5,2,0,0,1,4,5,2,3,0,1,0,1,0
201163,0011600004,1610612743,5,3,2,3,1,2,9,0,1,0,0,0,0,1
2749,0011600004,1610612743,4,2,0,2,1,2,5,0,1,4,1,0,0,3
203115,0011600004,1610612743,11,4,0,4,4,7,12,1,2,5,2,0,1,2
2034,0011600004,1610612743,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1627750,0011600004,1610612743,5,3,1,1,2,4,9,0,3,1,1,0,0,1
1627823,0011600004,1610612743,6,1,0,3,0,0,2,1,1,3,1,2,0,0
1627736,0011600004,1610612743,4,4,1,1,0,0,9,1,1,1,0,0,0,0
203133,0011600004,1610612743,1,0,0,1,0,0,0,0,0,0,0,0,2,1
203950,0011600004,1610612743,1,1,0,0,1,1,3,0,2,0,0,2,0,2
202810,0011600004,1610612743,,,,,,,,,,,,,,
